*1000Hz	-38.1
	
20.00	1.3
20.55	1.1
21.11	0.9
21.69	0.7
22.29	0.5
22.90	0.4
23.53	0.2
24.18	0.1
24.84	0.0
25.52	-0.1
26.22	-0.1
26.94	-0.1
27.68	-0.2
28.44	-0.2
29.22	-0.1
30.03	-0.1
30.85	-0.1
31.70	-0.1
32.57	0.0
33.46	0.0
34.38	0.1
35.33	0.1
36.30	0.2
37.29	0.2
38.32	0.2
39.37	0.3
40.45	0.3
41.56	0.3
42.70	0.3
43.87	0.3
45.08	0.3
46.32	0.4
47.59	0.4
48.90	0.4
50.24	0.4
51.62	0.5
53.03	0.5
54.49	0.6
55.99	0.6
57.52	0.6
59.10	0.7
60.73	0.7
62.39	0.7
64.11	0.7
65.87	0.7
67.68	0.7
69.54	0.7
71.44	0.7
73.41	0.7
75.42	0.8
77.49	0.8
79.62	0.8
81.81	0.8
84.05	0.8
86.36	0.8
88.73	0.8
91.17	0.8
93.67	0.8
96.25	0.8
98.89	0.8
101.60	0.8
104.39	0.8
107.26	0.9
110.21	0.9
113.23	0.8
116.34	0.8
119.54	0.8
122.82	0.7
126.19	0.6
129.66	0.6
133.22	0.5
136.87	0.4
140.63	0.4
144.50	0.3
148.46	0.3
152.54	0.3
156.73	0.3
161.03	0.2
165.45	0.2
170.00	0.2
174.67	0.2
179.46	0.2
184.39	0.2
189.45	0.2
194.65	0.2
200.00	0.2
205.49	0.1
211.13	0.0
216.93	0.0
222.89	-0.1
229.01	-0.2
235.30	-0.2
241.76	-0.2
248.40	-0.1
255.22	0.1
262.23	0.3
269.43	0.5
276.83	0.8
284.43	1.0
292.24	1.3
300.26	1.5
308.51	1.6
316.98	1.6
325.68	1.6
334.63	1.6
343.81	1.5
353.26	1.4
362.96	1.2
372.92	1.0
383.16	0.8
393.68	0.5
404.49	0.1
415.60	-0.2
427.01	-0.5
438.74	-0.7
450.79	-0.8
463.17	-0.9
475.88	-0.9
488.95	-0.9
502.38	-0.7
516.17	-0.5
530.35	-0.3
544.91	-0.1
559.87	0.0
575.25	0.2
591.04	0.4
607.27	0.5
623.95	0.5
641.08	0.5
658.68	0.4
676.77	0.3
695.35	0.1
714.45	0.0
734.07	0.0
754.22	0.0
774.94	0.2
796.21	0.3
818.08	0.5
840.54	0.6
863.62	0.7
887.34	0.7
911.70	0.6
936.74	0.5
962.46	0.3
988.89	0.1
1016.04	0.0
1043.94	-0.2
1072.61	-0.3
1102.06	-0.4
1132.33	-0.4
1163.42	-0.4
1195.37	-0.4
1228.19	-0.4
1261.91	-0.5
1296.57	-0.5
1332.17	-0.5
1368.75	-0.5
1406.34	-0.4
1444.95	-0.3
1484.63	-0.2
1525.40	-0.1
1567.28	-0.1
1610.32	0.0
1654.54	-0.1
1699.97	0.0
1746.65	0.1
1794.61	0.2
1843.89	0.4
1894.53	0.6
1946.55	0.6
2000.00	0.5
2054.92	0.4
2111.35	0.2
2169.32	0.1
2228.89	-0.1
2290.10	-0.2
2352.98	-0.2
2417.59	-0.4
2483.98	-0.5
2552.19	-0.5
2622.27	-0.5
2694.27	-0.5
2768.26	-0.4
2844.27	-0.3
2922.37	-0.1
3002.62	0.2
3085.07	0.4
3169.79	0.5
3256.83	0.7
3346.26	0.8
3438.14	1.0
3532.55	1.2
3629.56	1.3
3729.22	1.3
3831.62	1.4
3936.84	1.2
4044.94	0.8
4156.01	0.2
4270.14	-0.3
4387.39	-0.3
4507.87	0.0
4631.65	0.1
4758.83	0.3
4889.51	0.4
5023.77	0.2
5161.72	-0.1
5303.46	-0.4
5449.09	-0.7
5598.72	-0.6
5752.46	-0.3
5910.42	0.1
6072.72	0.4
6239.47	0.6
6410.80	0.5
6586.84	0.3
6767.71	0.3
6953.55	0.4
7144.49	0.9
7340.67	1.6
7542.24	2.3
7749.35	2.6
7962.14	2.5
8180.78	2.4
8405.42	2.3
8636.23	2.1
8873.37	1.9
9117.03	2.0
9367.38	2.5
9624.61	2.5
9888.89	1.9
10160.44	1.4
10439.44	1.4
10726.10	1.8
11020.63	2.3
11323.25	2.4
11634.18	1.6
11953.65	0.6
12281.89	0.5
12619.15	1.2
12965.66	1.5
13321.69	1.2
13687.50	1.6
14063.35	2.0
14449.52	1.6
14846.30	1.9
15253.97	2.2
15672.84	1.7
16103.21	1.1
16545.39	1.2
16999.72	1.5
17466.52	1.2
17946.14	1.1
18438.94	2.0
18945.26	3.2
19465.49	3.5
20000.00	2.4
